commit	outcome_auroc	outcome_auprc	onset_mae_hrs	peak_vram_gb	status	description
54619f9	0.776414	0.222618	93.67	6.201	KEEP	baseline: fix OUTCOME_RARE_THRESHOLD_PCT, safe_map unknowns→MASK, GPT.load device alignment
5ee3d48	0.786956	0.257365	86.06	5.414	KEEP	exp1: raise outcome aux cap 0.20→3.0; lambda_max 0.000312→0.0049
07e5077	0.781699	0.228911	90.93	8.276	DISCARD	exp2: unfreeze last block+ln_f in Phase-3; worse on all metrics
8a16f13	0.783763	0.231127	90.58	6.222	DISCARD	exp3: n_layer 4→6; worse on all metrics
3410f5d	0.786718	0.261556	82.86	5.414	DISCARD	exp4: ce_cap 0.50→1.0; auroc within noise of exp1
d13c1aa	0.776505	0.223528	88.95	5.414	DISCARD	exp5: bce_window 12→6h; worse on all metrics
b1273d6	0.793162	0.236416	88.12	5.909	KEEP	exp6: outcome_cap 3.0→6.0; auroc +0.006, auprc lower
2d3461c	0.773615	0.234960	92.15	5.909	DISCARD	exp7: outcome_cap 6.0→12.0; over-dominates backbone, significantly worse
870124d	0.763026	0.234090	91.54	5.545	DISCARD	exp8: outcome ramp_epochs 3→0; immediate full lambda destabilizes training, AUROC -0.030
f2e5662	0.786544	0.253922	86.66	6.225	DISCARD	exp9: plateau_patience [2]→[1]; faster outcome unlock, AUROC -0.007 vs exp6 despite RELEASE 0.597→0.675
096e233	0.783693	0.243929	86.24	6.052	DISCARD	exp10: phase2_n_epochs 50→75; early stops at 54 anyway, AUROC -0.009
c84b8fa	0.784127	0.241157	91.14	5.559	DISCARD	exp11: time2vec_dim 32→64; Phase-1 retrains from scratch, AUROC -0.009
aee3295	0.775785	0.227203	88.90	5.544	DISCARD	exp12: outcome_cap 6.0→7.0; Phase-1 fresh retrain; best with current P1 (7.0>6.0 by +0.006)
25cd9a4	0.769682	0.215687	95.60	5.546	DISCARD	exp13: re-baseline cap=6.0 fresh Phase-1; weaker P1 than exp6 reduces baseline to 0.770
03bf5ef	0.787828	0.244544	90.52	5.546	DISCARD	exp14: outcome_cap 7.0→8.0; fresh Phase-1; CARDIO 0.856, stepping toward peak
a6bc621	0.795177	0.268828	83.91	6.052	KEEP	exp15: outcome_cap 8.0→9.0; NEW BEST (>exp6 0.793); CARDIO 0.873, AUPRC +14%
c8d80aa	0.786771	0.242050	86.04	6.051	DISCARD	exp16: patience [2]→[3] with cap=9; CARDIO 0.841 vs 0.873, patience=[2] optimal
2c5c898	0.791896	0.265147	87.70	5.545	DISCARD	exp17: outcome_decay_tau 12→24h; CARDIO 0.874 but KIDNEY 0.737 vs 0.758, net -0.003 AUROC
